epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,975.503,0.70407,0.26668,0.17851,0.64114,0.80662,0.92776,0.81865,0.92298,0.67133,0.92776,0.81865,0.92298,0.82121,0.91776,0.58549,0.12078,1.23665,0.94217,0.001981,0.001981,0.001981
83,988.554,0.80055,0.30034,0.21428,0.72322,0.81765,0.9078,0.82237,0.91893,0.64696,0.9078,0.82237,0.91893,0.82394,0.89851,0.57109,0.11961,1.26383,0.93361,0.001882,0.001882,0.001882
84,1002.16,0.72966,0.28785,0.19764,0.67829,0.81503,0.92342,0.82922,0.91702,0.67414,0.92342,0.82922,0.91702,0.83037,0.88116,0.57472,0.12198,1.25762,0.94046,0.001783,0.001783,0.001783
85,1015.25,0.71276,0.31795,0.25309,0.64563,0.80321,0.91761,0.82901,0.91868,0.66013,0.91761,0.82901,0.91868,0.82886,0.88523,0.56149,0.1182,1.25125,0.93636,0.001684,0.001684,0.001684
86,1028.06,0.69755,0.27501,0.18641,0.61768,0.80292,0.91624,0.83005,0.91412,0.69269,0.91624,0.83005,0.91412,0.83046,0.82194,0.55121,0.11248,1.21733,0.92502,0.001585,0.001585,0.001585
87,1039.08,0.76421,0.28384,0.21858,0.63526,0.81456,0.92318,0.83267,0.91267,0.66094,0.92318,0.83267,0.91267,0.82297,0.8586,0.56163,0.11212,1.23477,0.9292,0.001486,0.001486,0.001486
88,1049.99,0.68534,0.3412,0.21024,0.64568,0.80899,0.91386,0.8271,0.91127,0.68728,0.91386,0.8271,0.91127,0.83115,0.80956,0.5505,0.10957,1.20344,0.92251,0.001387,0.001387,0.001387
89,1060.79,0.76497,0.31895,0.20714,0.64185,0.82387,0.92906,0.81471,0.91144,0.67215,0.92906,0.81471,0.91144,0.82807,0.84022,0.54921,0.10991,1.23624,0.92523,0.001288,0.001288,0.001288
90,1071.53,0.6471,0.24708,0.21858,0.58526,0.80371,0.90698,0.82842,0.91212,0.6941,0.90698,0.82842,0.91212,0.83062,0.8151,0.54361,0.10736,1.21925,0.92452,0.001189,0.001189,0.001189
91,1086.14,0.65071,0.27963,0.17888,0.67424,0.80799,0.90695,0.84257,0.91825,0.67981,0.90695,0.84257,0.91825,0.82917,0.82726,0.55577,0.10993,1.24527,0.92651,0.00109,0.00109,0.00109
92,1098.74,0.60386,0.28341,0.14874,0.62206,0.78989,0.89725,0.82435,0.90955,0.6958,0.89725,0.82435,0.90955,0.83036,0.79435,0.54329,0.1094,1.22819,0.91985,0.000991,0.000991,0.000991
93,1111.44,0.78169,0.28978,0.14887,0.75397,0.81512,0.89873,0.84963,0.91284,0.68296,0.89873,0.84963,0.91284,0.82904,0.8493,0.54244,0.10782,1.25721,0.93622,0.000892,0.000892,0.000892
94,1124.08,0.60006,0.20306,0.12844,0.68881,0.81295,0.90177,0.83967,0.91665,0.69764,0.90177,0.83967,0.91665,0.83705,0.83137,0.51417,0.10319,1.23925,0.93219,0.000793,0.000793,0.000793
95,1136.9,0.65024,0.27136,0.14378,0.63117,0.78445,0.8953,0.8215,0.918,0.69309,0.8953,0.8215,0.918,0.83771,0.82979,0.51617,0.10334,1.25418,0.93049,0.000694,0.000694,0.000694
96,1149.73,0.56667,0.21388,0.16246,0.56715,0.77826,0.91943,0.83734,0.91796,0.69424,0.91943,0.83734,0.91796,0.83702,0.84008,0.51533,0.10251,1.27623,0.93575,0.000595,0.000595,0.000595
97,1160.48,0.63813,0.21873,0.13118,0.6677,0.7897,0.93425,0.83542,0.91636,0.69253,0.93425,0.83542,0.91636,0.83111,0.83886,0.51738,0.10126,1.24595,0.93575,0.000496,0.000496,0.000496
98,1171.48,0.63848,0.22108,0.21955,0.59496,0.83111,0.92965,0.83324,0.91627,0.68818,0.92965,0.83324,0.91627,0.82711,0.85527,0.52708,0.10206,1.2419,0.93671,0.000397,0.000397,0.000397
99,1182.49,0.63864,0.24595,0.14756,0.63875,0.80526,0.93181,0.83113,0.91264,0.68008,0.93181,0.83113,0.91264,0.83193,0.8531,0.52037,0.10134,1.2325,0.93576,0.000298,0.000298,0.000298
100,1193.18,0.5409,0.20492,0.12302,0.55945,0.80109,0.93106,0.83146,0.90816,0.6751,0.93106,0.83146,0.90816,0.82978,0.84938,0.51827,0.10094,1.21921,0.93409,0.000199,0.000199,0.000199
